CustomerID,Gender,Age,Annual.Income..k..,Spending.Score..1.100.
1,Male,73,5563299,81
2,Female,38,8524350,53
3,Male,74,3135248,99
4,Male,68,5533584,79
5,Male,46,3043233,13
6,Female,43,8171459,74
7,Male,34,7431734,81
8,Male,71,6517723,70
9,Male,44,6114792,10
10,Female,26,7387952,66
11,Male,59,2067215,70
12,Male,64,9937025,47
13,Male,77,6356366,80
14,Male,19,9546026,81
15,Female,36,6784433,14
16,Male,38,6381028,22
17,Female,44,6006342,46
18,Female,47,3282417,80
19,Female,72,9887908,51
20,Male,30,3182991,35
21,Female,33,6745401,66
22,Male,55,6598260,95
23,Female,37,9757634,79
24,Female,23,5059599,75
25,Female,45,5550284,71
26,Female,70,8680963,60
27,Female,52,4394540,69
28,Female,63,9859653,28
29,Female,75,6789592,14
30,Female,65,9098214,83
31,Male,51,9957272,80
32,Male,52,4791267,73
33,Female,50,4718216,35
34,Female,56,7467010,49
35,Female,42,7118033,61
36,Male,56,6709532,21
37,Female,44,5042892,30
38,Male,69,3711741,52
39,Male,37,8421796,44
40,Male,38,8971206,72
41,Male,61,9357821,77
42,Male,39,9288228,56
43,Female,74,5344027,11
44,Female,60,5868599,84
45,Female,43,3598809,87
46,Female,65,8498585,43
47,Female,25,9693714,86
48,Male,76,7815131,74
49,Female,78,7525893,45
50,Female,25,6252728,53
51,Male,67,5612162,82
52,Female,78,5110205,14
53,Male,19,6049365,91
54,Female,58,4213920,33
55,Male,31,4448345,89
56,Female,53,7668406,42
57,Female,48,2541252,77
58,Male,76,7923875,83
59,Male,42,8655016,99
60,Male,52,9568103,91
61,Male,50,2252764,60
62,Male,70,5076871,11
63,Male,77,6735505,39
64,Male,30,5334679,65
65,Male,56,7418034,41
66,Female,53,8215502,67
67,Female,30,5691738,14
68,Male,24,7862557,80
69,Female,58,9221192,54
70,Female,27,2183062,79
71,Female,68,8307506,61
72,Female,30,4866651,42
73,Male,52,9762779,94
74,Female,41,2740427,19
75,Male,19,9697143,93
76,Female,69,6908873,87
77,Female,35,7912826,56
78,Female,35,3646711,29
79,Male,58,7944789,26
80,Female,28,2378496,61
81,Male,79,4615650,49
82,Female,46,5215557,26
83,Male,45,3056884,66
84,Female,37,2028251,62
85,Male,70,3032751,58
86,Male,62,5417077,77
87,Female,21,6642887,58
88,Male,47,7067661,70
89,Female,47,9665687,74
90,Female,41,3080793,77
91,Female,71,8194682,16
92,Female,39,4305062,81
93,Female,45,9856376,56
94,Female,32,4928479,44
95,Female,69,4744699,92
96,Female,18,8758489,98
97,Female,39,5807150,75
98,Female,46,9319049,70
99,Female,33,7540677,44
100,Male,78,2100235,67
101,Male,44,6387312,64
102,Female,48,3393470,52
103,Female,46,4790141,29
104,Female,36,6253694,96
105,Female,41,4749074,41
106,Female,31,6254656,86
107,Female,37,8695041,88
108,Female,65,8030117,55
109,Female,50,8697900,60
110,Male,39,8619135,25
111,Female,71,4952082,99
112,Male,20,4066203,14
113,Female,47,9918258,83
114,Female,32,2512153,76
115,Male,37,9999732,62
116,Female,38,6731573,63
117,Male,27,5772802,41
118,Female,20,2394366,23
119,Female,60,7630265,95
120,Male,51,6004168,74
121,Female,40,4653983,54
122,Male,33,4755195,14
123,Female,46,9363917,66
124,Male,79,3686293,99
125,Male,28,7994653,65
126,Female,43,5553068,73
127,Female,59,7803692,19
128,Male,43,3029225,68
129,Female,66,2187628,99
130,Female,79,7658956,13
131,Female,78,8002163,31
132,Male,35,9629001,45
133,Male,55,4821052,51
134,Male,56,5062383,95
135,Male,53,9896818,37
136,Male,53,7770173,44
137,Male,57,7917559,89
138,Male,51,6117022,73
139,Male,69,7537198,72
140,Male,27,9169455,78
141,Female,72,9213573,32
142,Male,22,3068632,69
143,Female,29,4517313,74
144,Female,19,5926275,45
145,Female,54,4259747,42
146,Male,45,4805497,50
147,Male,49,9710309,56
148,Male,34,9078007,80
149,Male,51,2406716,13
150,Female,51,4423570,48
151,Male,54,8448021,75
152,Male,53,7572735,81
153,Male,18,8966197,86
154,Male,54,5367763,42
155,Male,41,8384199,74
156,Female,59,2803328,48
157,Male,46,7862522,77
158,Female,46,8389959,94
159,Male,60,6136233,25
160,Female,76,5855567,82
161,Male,55,5268506,53
162,Male,79,8791822,60
163,Female,49,5286643,32
164,Female,54,2714998,58
165,Female,32,9192614,77
166,Male,43,9460072,64
167,Female,56,4497562,41
168,Male,62,6667867,61
169,Male,56,8207094,90
170,Female,78,3423286,28
171,Female,79,9209373,82
172,Male,65,7853499,40
173,Male,18,6485195,90
174,Female,48,2529525,39
175,Female,46,5263108,10
176,Female,29,3965806,97
177,Male,21,7187210,75
178,Male,31,6225300,40
179,Male,22,4858158,72
180,Male,75,5454908,57
181,Male,53,4026790,35
182,Male,38,5887646,72
183,Female,57,7635605,69
184,Male,41,9901614,62
185,Male,69,3316669,88
186,Male,42,2176615,67
187,Female,47,9853406,44
188,Male,73,3602239,44
189,Male,60,5871403,57
190,Female,70,2665022,63
191,Male,37,6808283,40
192,Male,73,7421240,47
193,Male,75,4383934,78
194,Male,71,6615075,39
195,Male,64,4248683,88
196,Female,47,8033255,71
197,Female,20,5425541,66
198,Female,60,4731899,74
199,Male,46,7525134,65
200,Male,73,9669355,70
201,Male,41,7389593,89
202,Female,57,2870045,40
203,Male,37,3123316,87
204,Male,50,7081264,69
205,Female,32,5464492,25
206,Male,25,2750201,56
207,Female,45,7386193,24
208,Female,38,2446438,72
209,Female,65,3783570,25
210,Male,72,3925860,97
211,Male,64,8161157,93
212,Male,59,5027512,38
213,Male,71,6373139,23
214,Male,74,9000609,52
215,Male,25,4924618,31
216,Male,64,8732682,83
217,Female,72,5337682,68
218,Male,56,5873421,60
219,Female,23,8720684,40
220,Male,73,7023275,49
221,Male,51,5879490,40
222,Male,24,3901625,52
223,Female,67,5534837,95
224,Female,24,6548167,40
225,Female,77,5509433,55
226,Female,68,8678050,62
227,Male,39,6452401,57
228,Female,46,9242142,34
229,Male,48,4160775,55
230,Male,69,9255363,93
231,Female,63,9966422,82
232,Female,29,2373632,78
233,Female,69,2222866,57
234,Female,69,2744840,54
235,Female,43,6461319,39
236,Female,52,4052528,83
237,Female,62,8314532,33
238,Female,65,7026734,64
239,Male,71,6983241,92
240,Female,51,7795543,35
241,Female,75,3676345,84
242,Male,59,4317428,56
243,Female,44,9123221,74
244,Male,35,3515458,97
245,Male,25,6962443,44
246,Female,51,2803451,35
247,Male,73,6626188,71
248,Male,37,8447960,61
249,Male,58,2177247,78
250,Male,27,2638836,52
