Customer ID,Gender,Age,Annual Income,Spending Score
1,Male,30,151479,89
2,Female,58,185088,95
3,Female,62,70912,76
4,Male,23,55460,57
5,Male,24,153752,76
6,Male,42,158335,40
7,Female,27,163501,37
8,Male,24,70476,17
9,Male,83,47743,34
10,Female,62,63448,3
11,Male,37,170566,75
12,Female,63,89355,80
13,Male,25,87576,17
14,Female,32,159892,96
15,Female,51,135079,87
16,Female,64,32869,81
17,Male,19,198682,82
18,Male,89,38708,97
19,Male,65,87270,3
20,Male,26,45518,12
21,Male,21,199879,49
22,Male,70,163828,36
23,Male,24,109188,6
24,Female,39,48212,36
25,Male,61,141596,45
26,Female,19,192492,57
27,Male,79,109550,7
28,Female,61,38132,15
29,Female,73,170959,55
30,Male,58,80731,23
31,Female,90,123085,25
32,Female,39,135748,95
33,Female,35,71372,52
34,Male,79,164259,96
35,Female,57,105742,7
36,Male,76,189412,87
37,Male,40,64309,62
38,Female,82,84966,66
39,Female,84,35701,5
40,Female,56,43376,52
41,Female,21,118137,43
42,Male,55,77165,86
43,Male,24,119922,80
44,Male,45,82425,39
45,Male,28,149778,15
46,Female,67,129484,80
47,Female,69,73479,77
48,Female,26,81259,29
49,Male,45,147126,1
50,Female,39,44774,12
51,Female,27,198647,25
52,Female,58,85181,16
53,Male,46,87741,3
54,Female,45,137494,68
55,Female,63,56531,2
56,Male,36,63564,23
57,Female,25,198265,29
58,Male,62,22655,39
59,Male,36,125614,35
60,Female,48,170509,54
61,Female,50,101081,32
62,Female,48,45667,95
63,Female,49,189732,2
64,Female,80,30718,49
65,Female,33,134933,90
66,Male,21,55978,34
67,Female,38,36650,91
68,Female,83,173558,53
69,Female,54,29187,61
70,Female,81,188612,45
71,Male,44,101492,55
72,Male,23,169008,31
73,Female,39,145660,81
74,Female,75,118063,35
75,Female,19,95891,93
76,Male,24,154402,79
77,Female,44,112848,14
78,Female,55,127451,31
79,Male,60,98827,27
80,Male,33,67969,27
81,Female,52,60785,9
82,Female,72,66416,53
83,Male,72,152544,59
84,Female,72,35507,72
85,Male,68,167873,24
86,Male,65,23002,32
87,Female,81,111464,34
88,Female,64,120469,20
89,Male,76,85934,48
90,Female,30,99419,4
91,Female,68,194339,35
92,Male,70,187033,14
93,Male,57,164879,9
94,Female,90,34276,98
95,Male,65,97470,67
96,Female,36,142836,40
97,Female,72,62084,59
98,Male,61,166752,93
99,Male,46,43269,54
100,Male,68,114111,42
101,Female,31,75683,65
102,Male,51,196283,31
103,Female,37,132793,22
104,Male,25,141598,63
105,Male,30,195148,27
106,Female,21,175112,33
107,Male,65,81473,10
